SEASON,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,NAME7,NAME8,NAME9,NAME10,NAME11,NAME12,NAME13,NAME14,NAME15
1988-89,Karl Malone,Tom Chambers,Dominique Wilkins,Charles Barkley,Chris Mullin,Terry Cummings,Akeem Olajuwon,Patrick Ewing,Robert Parish,Michael Jordan,John Stockton,Dale Ellis,Magic Johnson,Kevin Johnson,Mark Price
1989-90,Karl Malone,Larry Bird,James Worthy,Charles Barkley,Tom Chambers,Chris Mullin,Patrick Ewing,Akeem Olajuwon,David Robinson,Magic Johnson,John Stockton,Clyde Drexler,Michael Jordan,Kevin Johnson,Joe Dumars
1990-91,Karl Malone,Dominique Wilkins,James Worthy,Charles Barkley,Chris Mullin,Bernard King,David Robinson,Patrick Ewing,Hakeem Olajuwon,Michael Jordan,Kevin Johnson,John Stockton,Magic Johnson,Clyde Drexler,Joe Dumars
1991-92,Karl Malone,Scottie Pippen,Dennis Rodman,Chris Mullin,Charles Barkley,Kevin Willis,David Robinson,Patrick Ewing,Brad Daugherty,Michael Jordan,Tim Hardaway,Mark Price,Clyde Drexler,John Stockton,Kevin Johnson
1992-93,Charles Barkley,Dominique Wilkins,Scottie Pippen,Karl Malone,Larry Johnson,Derrick Coleman,Hakeem Olajuwon,Patrick Ewing,David Robinson,Michael Jordan,John Stockton,Tim Hardaway,Mark Price,Joe Dumars,Drazen Petrovic
1993-94,Scottie Pippen,Shawn Kemp,Derrick Coleman,Karl Malone,Charles Barkley,Dominique Wilkins,Hakeem Olajuwon,David Robinson,Shaquille O'Neal,John Stockton,Mitch Richmond,Mark Price,Latrell Sprewell,Kevin Johnson,Gary Payton
1994-95,Karl Malone,Charles Barkley,Detlef Schrempf,Scottie Pippen,Shawn Kemp,Dennis Rodman,David Robinson,Shaquille O'Neal,Hakeem Olajuwon,John Stockton,Gary Payton,Reggie Miller,Anfernee Hardaway,Mitch Richmond,Clyde Drexler
1995-96,Scottie Pippen,Shawn Kemp,Charles Barkley,Karl Malone,Grant Hill,Juwan Howard,David Robinson,Hakeem Olajuwon,Shaquille O'Neal,Michael Jordan,Gary Payton,Mitch Richmond,Anfernee Hardaway,John Stockton,Reggie Miller
1996-97,Karl Malone,Scottie Pippen,Anthony Mason,Grant Hill,Glen Rice,Vin Baker,Hakeem Olajuwon,Patrick Ewing,Shaquille O'Neal,Michael Jordan,Gary Payton,John Stockton,Tim Hardaway,Mitch Richmond,Anfernee Hardaway
1997-98,Karl Malone,Grant Hill,Scottie Pippen,Tim Duncan,Vin Baker,Glen Rice,Shaquille O'Neal,David Robinson,Dikembe Mutombo,Michael Jordan,Tim Hardaway,Mitch Richmond,Gary Payton,Rod Strickland,Reggie Miller
1998-99,Karl Malone,Chris Webber,Kevin Garnett,Tim Duncan,Grant Hill,Antonio McDyess,Alonzo Mourning,Shaquille O'Neal,Hakeem Olajuwon,Allen Iverson,Gary Payton,Kobe Bryant,Jason Kidd,Tim Hardaway,John Stockton
1999-00,Tim Duncan,Karl Malone,Chris Webber,Kevin Garnett,Grant Hill,Vince Carter,Shaquille O'Neal,Alonzo Mourning,David Robinson,Jason Kidd,Allen Iverson,Eddie Jones,Gary Payton,Kobe Bryant,Stephon Marbury
2000-01,Tim Duncan,Kevin Garnett,Karl Malone,Chris Webber,Vince Carter,Dirk Nowitzki,Shaquille O'Neal,Dikembe Mutombo,David Robinson,Allen Iverson,Kobe Bryant,Gary Payton,Jason Kidd,Tracy McGrady,Ray Allen
2001-02,Tim Duncan,Kevin Garnett,Ben Wallace,Tracy McGrady,Chris Webber,Jermaine O'Neal,Shaquille O'Neal,Dirk Nowitzki,Dikembe Mutombo,Jason Kidd,Gary Payton,Paul Pierce,Kobe Bryant,Allen Iverson,Steve Nash
2002-03,Tim Duncan,Dirk Nowitzki,Paul Pierce,Kevin Garnett,Chris Webber,Jamal Mashburn,Shaquille O'Neal,Ben Wallace,Jermaine O'Neal,Kobe Bryant,Jason Kidd,Stephon Marbury,Tracy McGrady,Allen Iverson,Steve Nash
2003-04,Kevin Garnett,Jermaine O'Neal,Dirk Nowitzki,Tim Duncan,Peja Stojakovic,Metta World Peace,Shaquille O'Neal,Ben Wallace,Yao Ming,Kobe Bryant,Sam Cassell,Michael Redd,Jason Kidd,Tracy McGrady,Baron Davis
2004-05,Tim Duncan,LeBron James,Tracy McGrady,Dirk Nowitzki,Kevin Garnett,Shawn Marion,Shaquille O'Neal,Amar'e Stoudemire,Ben Wallace,Allen Iverson,Dwyane Wade,Kobe Bryant,Steve Nash,Ray Allen,Gilbert Arenas
2005-06,LeBron James,Elton Brand,Shawn Marion,Dirk Nowitzki,Tim Duncan,Carmelo Anthony,Shaquille O'Neal,Ben Wallace,Yao Ming,Kobe Bryant,Chauncey Billups,Allen Iverson,Steve Nash,Dwyane Wade,Gilbert Arenas
2006-07,Dirk Nowitzki,LeBron James,Kevin Garnett,Tim Duncan,Chris Bosh,Carmelo Anthony,Amar'e Stoudemire,Yao Ming,Dwight Howard,Steve Nash,Gilbert Arenas,Dwyane Wade,Kobe Bryant,Tracy McGrady,Chauncey Billups
2007-08,Kevin Garnett,Dirk Nowitzki,Carlos Boozer,LeBron James,Tim Duncan,Paul Pierce,Dwight Howard,Amar'e Stoudemire,Yao Ming,Kobe Bryant,Steve Nash,Tracy McGrady,Chris Paul,Deron Williams,Manu Ginobili
2008-09,Dirk Nowitzki,Paul Pierce,Pau Gasol,LeBron James,Tim Duncan,Carmelo Anthony,Dwight Howard,Yao Ming,Shaquille O'Neal,Kobe Bryant,Brandon Roy,Chauncey Billups,Dwyane Wade,Chris Paul,Tony Parker
