,SEASON,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,NAME7,NAME8,NAME9,NAME10,NAME11,NAME12,NAME13,NAME14,NAME15
0,1988-89,252,1472,1122,787,904,187,165,121,305,893,304,107,77142,134,899
1,1989-90,252,1449,1460,787,1472,904,121,165,764,77142,304,17,893,134,247
2,1990-91,252,1122,1460,787,904,77264,764,121,165,893,134,304,77142,17,247
3,1991-92,252,937,23,904,787,788,764,121,921,893,896,899,17,304,134
4,1992-93,787,1122,937,252,913,934,165,121,764,893,304,896,899,247,77845
5,1993-94,937,431,934,252,787,1122,165,764,406,304,782,899,84,134,56
6,1994-95,252,787,96,937,431,23,764,406,165,304,56,397,358,782,17
7,1995-96,937,431,787,252,255,436,764,165,406,893,56,782,358,304,397
8,1996-97,252,937,193,255,779,452,165,121,406,893,56,304,896,782,358
9,1997-98,252,255,937,1495,452,779,406,764,87,893,896,782,56,393,397
10,1998-99,252,185,708,1495,255,686,297,406,165,947,56,977,467,896,304
11,1999-00,1495,252,185,708,255,1713,406,297,764,467,947,224,56,977,950
12,2000-01,1495,708,252,185,1713,1717,406,87,764,947,977,56,467,1503,951
13,2001-02,1495,708,1112,1503,185,979,406,1717,87,467,56,1718,977,947,959
14,2002-03,1495,1717,1718,708,185,469,406,1112,979,977,467,950,1503,947,959
15,2003-04,708,979,1717,1495,978,1897,406,1112,2397,977,208,2072,467,1503,1884
16,2004-05,1495,2544,1503,1717,708,1890,406,2405,1112,947,2548,977,959,951,2240
17,2005-06,2544,1882,1890,1717,1495,2546,406,1112,2397,977,1497,947,959,2548,2240
18,2006-07,1717,2544,708,1495,2547,2546,2405,2397,2730,959,2240,2548,977,1503,1497
19,2007-08,708,1717,2430,2544,1495,1718,2730,2405,2397,977,959,1503,101108,101114,1938
20,2008-09,1717,1718,2200,2544,1495,2546,2730,2397,406,977,200750,1497,2548,101108,2225
21,2009-10,201142,2546,2200,2544,1717,1495,2730,2405,101106,977,101114,2207,2548,959,200750
22,2010-11,201142,2200,200746,2544,1717,2216,2730,2405,201143,977,2548,1938,201565,201566,101108
23,2011-12,2544,201567,2546,201142,201933,1717,2730,101115,2199,977,2225,2548,101108,201566,200765
24,2012-13,2544,2546,101135,201142,201933,202331,1495,201188,2730,977,2225,2548,101108,201566,201935
25,2013-14,201142,201933,202331,2544,201567,200746,201149,2730,2744,201935,201939,201609,101108,2225,203081
26,2014-15,2544,200746,201933,203076,2200,1495,201188,202326,201599,201935,201566,202691,201939,101108,202681
27,2015-16,202695,201142,202331,2544,203110,200746,201599,202326,203083,201939,203081,202691,201566,101108,200768
28,2016-17,202695,201142,202710,2544,203507,203110,203076,203497,201599,201935,201939,202322,201566,202738,201942
29,2017-18,201142,200746,202710,2544,203507,202331,203076,203954,1626157,201935,201942,203506,203081,201566,201939
30,2018-19,203507,201142,201933,202331,202695,2544,203999,203954,203497,201935,203081,201566,201939,202681,202689
31,2019-20,2544,202695,202710,203507,1627783,1628369,203076,203999,203497,201935,203081,1627732,1629029,101108,201566
32,2020-21,203507,2544,202710,202695,203944,202331,203999,203954,203497,201939,203081,203078,1629029,101108,202681
33,2021-22,203507,201942,2544,1628369,201142,1627783,203999,203954,1626157,1626164,201939,101108,1629029,1629630,1629027
34,2022-23,203507,202710,2544,1628369,1627759,203944,203954,203999,1627734,1629029,201939,1628368,1628983,1628378,203081
35,2023-24,1628983,1628973,2544,203999,1630162,201939,1629029,201142,1627734,203507,202695,1630169,1628369,203076,1626164
