name,season,name2,precision,name3,m_i,name4,l_r,name5,m_d
SEASON:,0,precision:,0.9333333333333333,best mi:,3,best lr:,0.7,best md:,10
SEASON:,1,precision:,0.9333333333333333,best mi:,7,best lr:,0.49,best md:,8
SEASON:,2,precision:,0.8666666666666667,best mi:,9,best lr:,0.29,best md:,7
SEASON:,3,precision:,0.8666666666666667,best mi:,6,best lr:,0.48,best md:,4
SEASON:,4,precision:,0.8666666666666667,best mi:,5,best lr:,0.41,best md:,11
SEASON:,5,precision:,0.9333333333333333,best mi:,21,best lr:,0.5,best md:,7
SEASON:,6,precision:,0.8666666666666667,best mi:,28,best lr:,0.52,best md:,7
SEASON:,7,precision:,0.8666666666666667,best mi:,4,best lr:,0.7,best md:,8
SEASON:,8,precision:,0.8,best mi:,4,best lr:,0.68,best md:,2
SEASON:,9,precision:,0.9333333333333333,best mi:,10,best lr:,0.19,best md:,2
SEASON:,10,precision:,0.8666666666666667,best mi:,3,best lr:,0.21,best md:,7
SEASON:,11,precision:,1.0,best mi:,2,best lr:,0.27,best md:,7
SEASON:,12,precision:,0.8666666666666667,best mi:,7,best lr:,0.48,best md:,5
SEASON:,13,precision:,0.8666666666666667,best mi:,2,best lr:,0.43,best md:,2
SEASON:,14,precision:,1.0,best mi:,4,best lr:,0.35,best md:,7
SEASON:,15,precision:,0.9333333333333333,best mi:,3,best lr:,0.28,best md:,10
SEASON:,16,precision:,1.0,best mi:,15,best lr:,0.32,best md:,4
SEASON:,17,precision:,0.9333333333333333,best mi:,4,best lr:,0.44,best md:,7
SEASON:,18,precision:,1.0,best mi:,37,best lr:,0.49,best md:,9
SEASON:,19,precision:,0.9333333333333333,best mi:,25,best lr:,0.39,best md:,13
SEASON:,20,precision:,1.0,best mi:,17,best lr:,0.58,best md:,4
SEASON:,21,precision:,0.8666666666666667,best mi:,3,best lr:,0.49,best md:,3
SEASON:,22,precision:,0.8666666666666667,best mi:,6,best lr:,0.32,best md:,5
SEASON:,23,precision:,0.9333333333333333,best mi:,7,best lr:,0.27,best md:,2
SEASON:,24,precision:,0.9333333333333333,best mi:,3,best lr:,0.4,best md:,5
SEASON:,25,precision:,0.8,best mi:,3,best lr:,0.59,best md:,7
SEASON:,26,precision:,0.9333333333333333,best mi:,4,best lr:,0.5,best md:,6
SEASON:,27,precision:,0.9333333333333333,best mi:,8,best lr:,0.32,best md:,7
SEASON:,28,precision:,0.8666666666666667,best mi:,11,best lr:,0.36,best md:,13
SEASON:,29,precision:,1.0,best mi:,5,best lr:,0.38,best md:,3
SEASON:,30,precision:,0.9333333333333333,best mi:,5,best lr:,0.42,best md:,8
SEASON:,31,precision:,0.9333333333333333,best mi:,23,best lr:,0.25,best md:,8
SEASON:,32,precision:,1.0,best mi:,26,best lr:,0.67,best md:,8
SEASON:,33,precision:,0.9333333333333333,best mi:,5,best lr:,0.34,best md:,7
SEASON:,34,precision:,0.8,best mi:,6,best lr:,0.12,best md:,8
